Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,45 dias,,-3,,7,18,20,,,,M1294=0046581300023871972U 02IJ287 20260626V20|M1294=LS 11628 PRETO (7MM)|M1294=LS 11628|MFA=REFORCO FR
M4027,(fita tear 72fios pol. Cores),,02/07/2024,,,METRO,10MM,"R$ 0,49",,,,,,,,,,,,,,,,,,,,
M41411,(fita tear pol.cores c/goma),,20/04/2023,,,METRO,10MM,"R$ 0,62",,"R$ 0,60",,,,,,,,,,,,,,,,,,
MR100.004,(fita tear fio PET cores c/goma),,20/04/2023,,,METRO,10MM,"R$ 0,82",,"R$ 0,80",,,,,,,,,,,,,,,,,,
MR100.005,(fita tear 72fios PET cores),,02/07/2024,,,METRO,10MM,"R$ 0,55",,,,,,,,,,,,,,,,,,,,
M4140,(fita tear pol. c/refletivo 3mm colado),,02/07/2024,,,METRO,12MM,"R$ 1,26",,,,,,,,,,,,,,,,,,,,
M32226,(fita tear 84fios pol.c/cordão passadorM9064 c/goma ASICS),,18/09/2025,,,METRO,12MM,"R$ 2,58",,,,,,,,,,,,,,,,,,,,
M41550,(fita tear 56fios pol. Cores),,02/07/2024,,,METRO,12MM,"R$ 0,42",,"R$ 0,41",,,,,,,,,,,,,,,,,,
MR100.004,(fita tear fio PET cores c/goma),,20/04/2023,,,METRO,12MM,"R$ 0,99",,"R$ 0,96",,,,,,,,,,,,,,,,,,
MFG,(fita tear pol. Cores c/goma),,01/11/2023,,,METRO,14MM,"R$ 0,76","R$ 0,79","R$ 0,74",,,,,,,,,,,,,,,,,,
M31111,(fita tear pol.116fios c/bordas bicolor c/goma Adidas),,04/04/2024,,,METRO,14MM,"R$ 0,77",,"R$ 0,75",,,,,,,,,,,,,,,,,,
M2173,(fita debrun fio elastano cores PUMA),,08/08/2023,,,METRO,15MM,"R$ 2,80",,"R$ 2,72",,,,,,,,,,,,,,,,,,
M4139,(fita tear 120fios helanca c/goma),,11/08/2023,,,METRO,15MM,"R$ 1,32",,"R$ 1,28",,,,,,,,,,,,,,,,,,
M31111,(fita tear pol.116fios c/bordas bicolor c/goma Adidas),,14/12/2023,,,METRO,15MM,"R$ 0,80",,"R$ 0,78",,,,,,,,,,,,,,,,,,
M51100,(Fita tear 342fios pol.largura 22mm dupla face Peti Joli),,22/07/2026,,,METRO,15MM,"R$ 1,97",,,,,,,,,,,,,,,,,,,,
MFG,(fita tear pol. Cores c/goma),,01/11/2023,,,METRO,16MM,"R$ 0,87","R$ 0,91","R$ 0,84",,,,,,,,,,,,,,,,,,
MR100.004,(fita tear fio PET cores c/goma),,20/04/2023,,,METRO,18MM,"R$ 1,48",,"R$ 1,44",,,,,,,,,,,,,,,,,,
MR100.004,(fita tear fio PET cores c/goma),,07/02/2024,,,METRO,20MM,"R$ 1,64",,"R$ 1,60",,,,,,,,,,,,,,,,,,
M5124,(fita tear pol. Cores),,01/11/2023,,,METRO,22MM,"R$ 1,90","R$ 1,99","R$ 1,85",,,,,,,,,,,,,,,,,,
M51100,"(Fita tear 342fios pol.largura 22mm dupla face Peti Joli) (1mt=0,01822gr=54,88mts p/kg largura 22mm)",,22/07/2026,,,METRO,22MM,"R$ 2,88",,,,,,,,,,,,,,,,,,,,
