Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,7 dias
M3160,fita tear 72fios pol. Dupla face core,,28/05/2026,,,METRO,12MM,"R$ 0,98",,,,,,,,,,
M5124,fita tear 234fios pol.bicolor,,28/05/2026,,,METRO,25MM,"R$ 3,68",,,,,,,,,,
M5124,fita tear 234fios pol.bicolor,,28/08/2026,,,METRO,21MM,"R$ 3,09",,,,,,,,,,
M32218,fita tear 160fios pol. c/cordão M9064 no centro cores,,28/05/2026,,,METRO,14MM,"R$ 2,28",,,,,,,,,,
M32218,fita tear 160fios pol. c/cordão M9064 no centro cores,,28/05/2026,,,METRO,18MM,"R$ 2,93",,,,,,,,,,
M41560,"fitar tear 84fios pol. c/4fios reflet.0,5mm c/goma cores",,12/06/2026,,,METRO,12MM,"R$ 1,95",,,,,,,,,,
M41564,fita tear 92fios pol. Na base +16 fios pol.listra,,26/08/2026,,,METRO,15MM,"R$ 0,67",,,,,,,,,,
M41565,fita tear c/28fios poliéster + 24 fios lurex,,15/09/2026,,"(poliéster 1mt=0,001650gr=606,06 mts p/kg) (fio lurex 1mt=0,000300gr=3.333,33 mts p/kg)",METRO,7MM,"R$ 0,68",,,,,,,,,,
M21189,elast. Tear 32 fios polimp c/10 borracha revestida cores,,28/05/2026,,,METRO,10MM,"R$ 0,86",,,,,,,,,,
M21192,elást.tear tipo 6ALF 28fios pol. c/ 6borr.revestida 6mm cores,,28/05/2026,,,PAR,100CM,"R$ 1,18",,,,,,,,,,
M21212,elást.tear 20fios pol. + 24fios lurex prata c/11 bor.revest.c/goma,0,13/07/2026,,,METRO,10MM,"1,37","0,00","0,00",0,0,,,,,,
MER,"elást.tranç. 16Fu. c/2fios pol.p/espula c/16bor.38 3,0mm espes.",,29/05/2026,,,PAR,100CM,"R$ 2,33",,,,,,,,,,
M12196,cadarço tear c/64fios poliéster c/listra meio cores 6mm,,13/08/2026,,"(1mt=0,003078gr= 324,89 mts p/kg)",PAR,100CM,"R$ 0,62",,,,,,,,,,
M21053,cad.tear 164fios helanca 6.0 c/pontilhado 6mm cores,,28/05/2026,,,PAR,100CM,"R$ 1,46",,,,,,,,,,
M22005,Cadarço tear 60fios poliéster sublimado cores,,28/05/2026,,,PAR,100CM,"R$ 1,83",,,,,,,,,,
M6034,cad.tranç.48F 2 fios p/esp. 30/2 cores,,28/05/2026,,,PAR,100CM,"R$ 1,08",,,,,,,,,,
M13655,"cad.tranç.32fu. c/2fios pol. p/esp. c/uma esp.c/1 fio refle.0,5mm",,26/06/2026,,,PAR,100CM,"R$ 1,93",,,,,,,,,,
M13740,"cad.tranç.32fu.c/2fios pol.p/espula c/uma esp.c/1fio refle.0,5mm",,26/06/2026,,,PAR,100CM,"R$ 2,19",,,,,,,,,,
M13784,cad.tranç.32fu.c/6fios pol.p/espula cores,,29/05/2026,,,PAR,100CM,"R$ 1,68",,,,,,,,,,
