Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,,14,14,,7,18,20
250,(cad.tranç.alg.normal),,15/06/2021,,,PAR,100cm,"1,3","1,44",,,,,,,,,,,,,,,
3000/6,(cad.tranç.16fu.fio poliéster),,15/06/2021,,,PAR,100cm,1,"1,11",,,,,,,,,,,,,,,
250-E,(atr.tranç.alg.encer),,15/06/2021,,,METRO,1000mm,"0,93","1,02",,,,,,,,,,,,,,,
250-E,(atr.tranç.alg.encer),,15/06/2021,,,PAR,100cm,"1,87","2,08",,,,,,,,,,,,,,,
3000MG,(cad.tranç.16fu.fio pol.),,15/06/2021,,,METRO,1000mm,"0,36","0,4",,,,,,,,,,,,,,,
3000MG,(cad.tranç.16fu. Fio pol.),,15/06/2021,,,PAR,100cm,"0,68","0,75",,,,,,,,,,,,,,,
6al-f,(FT709 bicolor),,20/10/2025,,,PAR,100cm,"0,84","0,96",,,,,,,,,,,,,,,
6ALM,AT-FT709 (tear 44fios),,15/06/2021,,,PAR,100cm,"0,63","0,7",,,,,,,,,,,,,,,
Dunas Zebra,,,15/06/2021,,,PAR,100cm,"1,08","1,2",,,,,,,,,,,,,,,
J31113,(fita pol.tear jaquard Kolosh),,17/05/2024,,,METRO,12mm,"1,7","1,89",,,,,,,,,,,,,,,
J31136,(fita tear pol.sarjada no jacard 210 fios ),,17/12/2020,,,METRO,14mm,"0,96","1,07",,,,,,,,,,,,,,,
J31158,(elást.jacard desenhado pol.c/bor.revestida),,06/07/2026,,,METRO,300mm,48,"54,72",,,,,,,,,,,,,,,
J31158,(elást.jacard desenhado pol.c/bor.revestida),,29/09/2023,,,METRO,40mm,"5,25","5,85",,,,,,,,,,,,,,,
J31186,(cad.tear jacard 103fios pol.desenho V),,20/10/2025,,,PAR,100cm,"1,26","1,45",,,,,,,,,,,,,,,
kk LS 15338,(pol.tear),,02/09/2022,,,METRO,10mm,"1,25","1,43","1,45",,,,,,,,,,,,,,
kk LS 15338,(M32221 fita tear pol. c/trama nylon 015),,02/09/2022,,,METRO,8mm,"1,05","1,2","1,22",,,,,,,,,,,,,,
kk LS 15338,(M32221 fita tear pol. c/trama nylon 015),,02/09/2022,,,METRO,8mm,"0,8","0,91","0,93",,,,,,,,,,,,,,
LS16410,(tear pol.4bor.revest.bordas),,23/03/2023,,,METRO,5mm,"0,63","0,7",,,,,,,,,,,,,,,
LS16410,(tear pol.4bor.revest.bordas),,14/03/2023,,(pedidos a partir 11/2024 ajustar preço),METRO,5mm,"0,65","0,73",,,,,,,,,,,,,,,
LS16410,(tear pol.4bor.revest.bordas),,01/11/2024,,,METRO,5mm,"0,69","0,78",,,,,,,,,,,,,,,
LS16410,(tear pol.4bor.revest.bordas),,15/06/2021,,(pedido a partir 07/04/2025 c/ desconto,METRO,7mm,"0,74","0,84",,,,,,,,,,,,,,,
LS16410,(Pol.c/lurex),,07/04/2025,,,METRO,7mm,"0,71","0,81","0,82",,,,,,,,,,,,,,
M/EXP,(elást.tear poliéster 4borrochas 28),,16/03/2023,,(desconto concedido 23/03/2023),METRO,5mm,"0,65","0,73",,,,,,,,,,,,,,,
M/EXP,(elást.tear poliéster 4borrochas 28),,25/01/2021,,,METRO,60mm,"10,95",,,,,,,,,,,,,,,,
M10110,(cad.tear pol.cores),,15/06/2021,,,PAR,100cm,"0,7","0,78",,,,,,,,,,,,,,,
M10141,(cad.tear pol.c/10 fios lurex ouro),,08/11/2021,,,PAR,100cm,"1,82","2,02",,,,,,,,,,,,,,,
M10143,(meia cana 4mm 50%alg.+50%pol.),,19/07/2022,,,METRO,5mm,"0,66","0,74",,,,,,,,,,,,,,,
M10143,(meia cana 5mm 60%alg.+40%pol.),,28/06/2022,,,METRO,7mm,"1,25","1,39",,,,,,,,,,,,,,,
M12026,,,15/06/2021,,,PAR,100cm,"0,81","0,9",,,,,,,,,,,,,,,
M12026,(cad.tear pol.c/lurex prata),,15/06/2021,,,PAR,100cm,"1,24","1,38","1,3",,,,,,,,,,,,,,
M12033,(cad.tear pol.bicolor),,15/06/2021,,,PAR,100cm,"0,68","0,75",,,,,,,,,,,,,,,
M12116,(cad.tear pol.c/lurex),,15/06/2021,,,PAR,100cm,"0,9",1,,,,,,,,,,,,,,,
M12135,(cad.tear pol.c/lurex trama),,15/06/2021,,,PAR,100cm,"0,84","0,93",,,,,,,,,,,,,,,
M12150,(cad.tear sublimado 7mm),,04/11/2020,,,METRO,1000mm,"0,9",1,,,,,,,,,,,,,,,
M12159,(cad.tear sarjado bicolor 7mm),,01/12/2021,,,PAR,100cm,"0,7","0,77",,,,,,,,,,,,,,,
M12193,(cad.tear 48fios pol. + 16fios lurex 7mm),,23/04/2026,,,PAR,100cm,"0,86","0,98",1,,,,,,,,,,,,,,
M1294,(cad.pol.tear ref.LS11628 7mm,,15/06/2021,,,METRO,1000mm,"0,29","0,33","0,34",,,,,,,,,,,,,,
M1294,(ref.LS11628 7mm),,08/07/2026,,,PAR,100cm,"0,58","0,66","0,67",,,,,,,,,,,,,,
M1294,(ref.LS11628 13mm),,15/06/2021,,,PAR,100cm,"0,8","0,89",,,,,,,,,,,,,,,
M1294,(ref.LS11628 18mm,,15/06/2021,,,PAR,100cm,"1,02","1,14",,,,,,,,,,,,,,,
M130.007,(cad.tranç.32fu.fio PET redondo),,14/11/2022,,,METRO,15mm,"0,91","1,02",,,,,,,,,,,,,,,
M13009,(cad.tranç.32fu.pol. Redondo c/enchim),,02/05/2022,,,METRO,1000mm,"0,9",1,,,,,,,,,,,,,,,
M13009,(cad.tranç.32fu.pol. Redondo c/enchim),,02/05/2022,,,PAR,100cm,"1,84","2,04",,,,,,,,,,,,,,,
M1308,(cad.LS1273 pol.tear 9mm),,15/06/2021,,,PAR,100cm,"0,68","0,75",,,,,,,,,,,,,,,
M13483,(cad.tranç.32fu.pol.4fios p/espulas),,11/07/2022,,,PAR,100cm,"1,52","1,7",,,,,,,,,,,,,,,
