Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO
MCC,(meia cana algodão 16/2 c/pol.trama 5mm),,28/06/2022,,,METRO,1000mm,"R$ 0,89","R$ 0,99",,,,,,,,
M12150,(cad.tear sublimado 7mm),,04/11/2020,,,METRO,1000mm,"R$ 0,90","R$ 1,00",,,,,,,,
M22063,(cadarço metros pol.tubular 5mm cores),,08/07/2026,,,METRO,1000mm,"R$ 0,42","R$ 0,48","R$ 0,49",,,,,,,
M13009,(cad.tranç.32fu.pol. Redondo c/enchim),,02/05/2022,,,METRO,1000mm,"R$ 0,90","R$ 1,00",,,,,,,,
M13521,(cad.tranç.32f. Pol.3fio esp.),,15/06/2021,,,METRO,1000mm,"R$ 0,50","R$ 0,55",,,,,,,,
M1294,(cad.pol.tear ref.LS11628 7mm,,15/06/2021,,,METRO,1000mm,"R$ 0,29","R$ 0,33","R$ 0,34",,,,,,,
M9022,(cad.tranç.16fus.pol),,03/05/2023,,,METRO,1000mm,"R$ 0,27","R$ 0,30","R$ 0,31",,,,,,,
M9030,(cad.pol.tranç.16fus.pol),,15/06/2021,,,METRO,1000mm,"R$ 0,45","R$ 0,50",,,,,,,,
M9088,(cad.tranç.16fus.pol.bicolor 5mm),,23/09/2022,,,METRO,1000mm,"R$ 0,58","R$ 0,64",,,,,,,,
M9088,(desconto concedido 04/11/2022) (cad.tranç.16fus.pol.bicolor 5mm),,04/11/2022,,,METRO,1000mm,"R$ 0,45","R$ 0,50",,,,,,,,
3000MG,(cad.tranç.16fu.fio pol.),,15/06/2021,,,METRO,1000mm,"R$ 0,36","R$ 0,40",,,,,,,,
250-E,(atr.tranç.alg.encer),,15/06/2021,,,METRO,1000mm,"R$ 0,93","R$ 1,02",,,,,,,,
M7012,(cad.tranç.32FU.redondo algodão encerrado),,22/01/2024,,,METRO,1000mm,"R$ 1,32","R$ 1,47",,,,,,,,
MR110.016,(cad.tear PET c/detalhe pont.7mm),,24/05/2022,,,METRO,1000mm,"R$ 0,44","R$ 0,49",,,,,,,,
M12026,,,15/06/2021,,,PAR,100cm,"R$ 0,81","R$ 0,90",,,,,,,,
M10110,(cad.tear pol.cores),,15/06/2021,,,PAR,100cm,"R$ 0,70","R$ 0,78",,,,,,,,
M10141,(cad.tear pol.c/10 fios lurex ouro),,08/11/2021,,,PAR,100cm,"R$ 1,82","R$ 2,02",,,,,,,,
M2041,(elast.tear pol.tub.canelado),,20/05/2021,,,PAR,100cm,"R$ 2,58","R$ 2,86",,,,,,,,
M12026,(cad.tear pol.c/lurex prata),,15/06/2021,,,PAR,100cm,"R$ 1,24","R$ 1,38","R$ 1,30",,,,,,,
M12033,(cad.tear pol.bicolor),,15/06/2021,,,PAR,100cm,"R$ 0,68","R$ 0,75",,,,,,,,
