Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22
Juta c/ goma,,,01/02/2021,,,PARES,17 CM,"0,09",,,,,,,
Juta c/goma p/exportação,,,01/02/2021,,,PARES,17 CM,"0,08",,,,,,,
Juta c/goma p/exportação,,,12/03/2021,,,PARES,35 CM,"0,16",,,,,,,
Juta c/goma mercado interno,,,12/03/2021,,,PARES,35 CM,"0,19",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MFG,,,12/01/2022,,,metro,10 MM,"0,42","0,41","0,41",,,"0,46","0,45",
MFG,,,01/11/2022,,,metro,10 MM,"0,46","0,45","0,45",,,,,
MFG,,,12/01/2022,,,metro,8 MM,"0,37","0,36","0,36",,,"0,37","0,36",
MFG,,,01/11/2022,,,metro,8 MM,"0,37","0,36","0,36",,,,,
,,,,,,,,,,,,,,,
MFG,,,12/01/2022,,,metro,12 MM,"0,50","0,49","0,49",,,"0,55","0,53",
MFG,,,01/11/2022,,,metro,12 MM,"0,55","0,53","0,53",,,,,
,,,,,,,,,,,,,,,
MFG(fita 8mm c/refletivo aplicado),,,19/10/2019,,,metro,8 MM,"1,71",,,,,,,
MFG(fita 10mm c/refletivo aplicado),,,19/10/2019,,,metro,10 MM,"1,71",,,,,,,
,,,,,,,,,,,,,,,
MFG C/ Goma,,,12/01/2022,,,metro,10 MM,"0,53","0,52","0,52",,,"0,58","0,56",
MFG C/ Goma,,,01/11/2022,,,metro,10 MM,"0,58","0,56","0,56",,,,,
,,,,,,,,,,,,,,,
MFG c/goma,,,12/01/2022,,,metro,12 MM,"0,64","0,62","0,62",,,"0,7","0,68",
MFG c/goma,,,01/11/2022,,,metro,12 MM,"0,70","0,68","0,68",,,,,
,,,,,,,,,,,,,,,
MFP(fita pol.tear c/goma),,,12/01/2022,,,metro,14 MM,"1,00","0,97","0,97",,,,,
,,,,,,,,,,,,,,,
MFGP S/GOMA,,,12/01/2022,,,metro,6 MM,"0,23","0,22","0,22",,,"0,25","0,24",
MFGP S/GOMA,,,01/11/2022,,,metro,6 MM,"0,25","0,24","0,24",,,,,
MFGP S/GOMA,,,12/01/2022,,,metro,8 MM,"0,29","0,28","0,28",,,"0,32","0,31",
MFGP S/GOMA,,,01/11/2022,,,metro,8 MM,"0,32","0,31","0,31",,,,,
MFGP S/GOMA,,,12/01/2022,,,metro,10 MM,"0,36","0,35","0,35",,,"0,41","0,4",
MFGP S/GOMA,,,01/11/2022,,,metro,10 MM,"0,41","0,40","0,40",,,,,
