Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,35
Dunas(cad.tear jacquar),,,17/02/2021,,,PAR,100cm,"1,74",,,,,,,,,,
6AL(cad.tear poliéster cores 6mm),,,18/09/2023,,,PAR,100cm,"1,06",,,,,"1,06",,,,,
6AL(cad.tear poliéster cores 6mm),,,06/09/2023,,,PAR,100cm,"1,06",,,,,,,,,,
M6034(cad.tranç.48fu.fio 30/2 fiado 8mm),,,18/11/2021,30/04/2023,"(preço de 1,76 fica mantido até abril/2023)",PAR,100cm,"1,76",,,,,"1,86",,,,,
M6034(cad.tranç.48fu.fio 30/2 fiado 8mm),,,06/09/2023,30/04/2023,"(preço de 1,76 fica mantido até abril/2023)",PAR,100cm,"1,86",,,,,,,,,,
M6087(cad.traç.48fus.fio 30/2 fiado 6mm),,,17/04/2021,,,PAR,100cm,"1,18",,,,,"1,18",,,,,
M6087(cad.traç.48fus.fio 30/2 fiado 6mm),,,06/09/2023,,,PAR,100cm,"1,18",,,,,,,,,,
M6087(cad.tran.48fus.fio 30/2 fiado 8mm),,,17/04/2021,,,PAR,100cm,"1,34",,,,,"1,34",,,,,
M6087(cad.tran.48fus.fio 30/2 fiado 8mm),,,06/09/2023,,,PAR,100cm,"1,34",,,,,,,,,,
M9027(cad.tranç.16fu.redondo pol.bicolor),,,19/11/2021,,,PAR,100cm,"0,96",,,,,"0,96",,,,,
M9027(cad.tranç.16fu.redondo pol.bicolor),,,06/09/2023,,,PAR,100cm,"0,96",,,,,,,,,,
M60109(cad.tranç.48fus.fio 30/2 fiado ),,,28/07/2021,,,PAR,100cm,"1,54",,,,,"1,54",,,,,
M60109(cad.tranç.48fus.fio 30/2 fiado ),,,06/09/2023,,,PAR,100cm,"1,54",,,,,,,,,,
M60111(cad.tranç.48f.fio 30/2 passado engom.200º),,,10/02/2022,,,PAR,100cm,"2,42",,,,,"2,42",,,,,
M60111(cad.tranç.48f.fio 30/2 passado engom.200º),,,06/09/2023,,,PAR,100cm,"2,42",,,,,,,,,,
M60119(cad.tranç.48fu.fio 30/2 c/pont.transparente Lacoste),,,06/06/2023,,(Desconto especial produção Nordeste 07/11/2023),PAR,100cm,"1,58","1,07",,,,"1,58",,,,,
M60119(cad.tranç.48fu.fio 30/2 c/pont.transparente Lacoste),,,06/09/2023,,(Desconto especial produção Nordeste 07/11/2023),PAR,100cm,"1,58",,,,,,,,,,
M60119(cad.tranç.48fu.fio 30/2 c/ponteira colorida Lacoste),,,06/06/2023,,,PAR,100cm,"1,68",,,,,"1,68",,,,,
M60119(cad.tranç.48fu.fio 30/2 c/ponteira colorida Lacoste),,,06/09/2023,,,PAR,100cm,"1,68",,,,,,,,,,
M60121(cad.tranç.48fu.c/2fios p/esp.30/2 pol. 10mm largura),,,15/02/2024,,,PAR,100cm,,"1,38",,,,"1,42",,,,,
M60121(cad.tranç.48fu.c/2fios p/esp.30/2 pol. 10mm largura),,,06/09/2023,,,PAR,100cm,"1,42",,,,,,,,,,
M60122(cad.tranç.48f.c/3fios p/esp.30/2 pol.14mm largura),,,22/02/2024,,,PAR,100cm,,"2,06",,,,"2,12",,,,,
M60122(cad.tranç.48f.c/3fios p/esp.30/2 pol.14mm largura),,,06/09/2023,,,PAR,100cm,"2,12",,,,,,,,,,
4000/8XTA(cad.tranç.32fu.pol.quadriculado8mm),,,23/07/2021,,,PAR,100cm,"1,44",,,,,"1,44",,,,,
4000/8XTA(cad.tranç.32fu.pol.quadriculado8mm),,,06/09/2023,,,PAR,100cm,"1,44",,,,,,,,,,
M13119(cad.tranç.32fu.pol.cores 6mm),,,25/04/2022,,,PAR,100cm,"0,94",,,,,"0,94",,,,,
M13119(cad.tranç.32fu.pol.cores 6mm),,,06/09/2023,,,PAR,100cm,"0,94",,,,,,,,,,
M13119(cad.tranç.32fu.pol.cores 8mm),,,25/04/2022,,,PAR,100cm,"1,06",,,,,"1,06",,,,,
M13119(cad.tranç.32fu.pol.cores 8mm),,,06/09/2023,,,PAR,100cm,"1,06",,,,,,,,,,
M13476(cad.tranç.32fus.Polimp 6mm),,,11/05/2022,,,PAR,100cm,"1,02",,,,,"1,02",,,,,
M13476(cad.tranç.32fus.Polimp 6mm),,,06/09/2023,,,PAR,100cm,"1,02",,,,,,,,,,
M13712(cad.tranç.32fus.poliéster 3fios espula),,,31/05/2022,,,PAR,100cm,"1,40",,,,,"1,4",,,,,
M13712(cad.tranç.32fus.poliéster 3fios espula),,,06/09/2023,,,PAR,100cm,"1,40",,,,,,,,,,
M13735(cad.tranç.32fu.pol.ponti.c/pont.transp. VANS),,,06/06/2023,,,PAR,100cm,"1,48",,,,,"1,48",,,,,
M13735(cad.tranç.32fu.pol.ponti.c/pont.transp. VANS),,,06/09/2023,,,PAR,100cm,"1,48",,,,,,,,,,
M13735(cad.tranç.32fu.pol.ponti.c/pont.colorida VANS),,,06/06/2023,,,PAR,100cm,"1,58",,,,,"1,58",,,,,
M13735(cad.tranç.32fu.pol.ponti.c/pont.colorida VANS),,,06/09/2023,,,PAR,100cm,"1,58",,,,,,,,,,
M18006(cad.tranç.32fu.poliéster 3/2fios na espula),,,12/04/2022,,,PAR,100cm,"1,30",,,,,"1,3",,,,,
M18006(cad.tranç.32fu.poliéster 3/2fios na espula),,,06/09/2023,,,PAR,100cm,"1,30",,,,,,,,,,
M18011(cad.tranç.32fu.pol),,,17/02/2021,,,PAR,100cm,"1,15",,,,,"1,15",,,,,
M18011(cad.tranç.32fu.pol),,,06/09/2023,,,PAR,100cm,"1,15",,,,,,,,,,
M19065(cad.tranç. 16fu.3fios algodão 30/2 p/esp.),,,20/04/2026,,,PAR,100cm,"1,28",,,,,,,,,,
M12109(cad.tear poliéster cores 6mm),,,17/02/2021,,,PAR,100cm,"0,79",,,,,,,,,,
M12109(cad.tear REFLEXX chato cores 8mm),,,10/08/2021,,,PAR,100cm,"1,12",,,,,,,,,,
M12125(cad.tear pol.reflexx 6mm cores),,,17/04/2021,,,PAR,100cm,"0,86",,,,,,,,,,
M12125(cad.tear pol.reflexx 8mm cores),,,17/04/2021,,,PAR,100cm,"0,98",,,,,,,,,,
M12161(cad.tear pol. 6mm cores),,,12/04/2022,,,PAR,100cm,"1,04",,,,,,,,,,
M21020(cad.tear poliéster cores 6mm),,,10/06/2021,,,PAR,100cm,"0,64",,,,,,,,,,
M21020(cad.tear poliester cores 8mm),,,19/10/2022,,,PAR,100cm,"0,83",,,,,,,,,,
M21020(cad.tear REFLEXX cores 8mm),,,10/06/2021,,,PAR,100cm,"1,04",,,,,,,,,,
M21020(cad.tear REFLEXX cores 6mm),,,10/06/2021,,,PAR,100cm,"0,90",,,,,,,,,,
M22022(cad.tear reflexx pontilhado 6mm),,,23/07/2021,,,PAR,100cm,"0,78",,,,,,,,,,
J31132(cad.tear jacquard pol.8mm c/escrita),,,11/08/2021,,,PAR,100cm,"1,85",,,,,,,,,,
MFG(fita pol.tear cores),,,17/02/2021,,,METRO,10mm,"0,55",,,,,,,,,,
MFG(fita pol.tear cores),,,17/02/2021,,,METRO,15mm,"0,83",,,,,,,,,,
M4027(fita tear pol.cores),,,19/04/2022,,,METRO,18mm,"0,99",,,,,,,,,,
M32108(fita tear pol.c/3 listras c/goma),,,22/02/2022,,,METRO,16mm,"1,08",,,,,,,,,,
M32217(fita tear pol. Cores 208fios),,,22/11/2022,,,METRO,12mm,"1,21",,,,,,,,,,
